,Char,Team,Batting Pos.,Hits,At Bats,Singles,Doubles,Triples,Homeruns,Total Bases,RBIs,Walks Taken,Sac Flys,Plate Appearances,Steals,Runs,Big Plays,IP,Earned Runs,K's,Walks Pitched,Hits Allowed,Wins,Pitches,Star Pitches
1909,King Boo 1,BennyOkay,1,1,3,0,0,0,1,4,3,0,0,3,0,1,0,0.0,0,0,0,0,0,0,0
1910,Toadsworth 1,BennyOkay,2,2,3,2,0,0,0,2,0,0,0,3,0,0,0,1.333333,7,0,0,7,0,21,0
1911,Boo 1,BennyOkay,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,4.333333,7,2,0,10,0,41,0
1912,Noki(R) 1,BennyOkay,4,1,3,1,0,0,0,1,0,0,0,3,0,0,1,0.0,0,0,0,0,0,0,0
1913,Pianta(R) 1,BennyOkay,5,0,3,0,0,0,0,0,0,0,0,3,0,1,1,0.0,0,0,0,0,0,0,0
1914,Dry Bones(Gy) 1,BennyOkay,6,1,3,0,0,0,1,4,2,0,0,3,0,1,0,0.333333,0,0,0,0,0,1,0
1915,Baby Luigi 1,BennyOkay,7,1,3,1,0,0,0,1,0,0,0,3,0,1,0,0.0,0,0,0,0,0,0,0
1916,Goomba 1,BennyOkay,8,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
1917,Paratroopa(G) 1,Buffcat,0,3,4,3,0,0,0,3,0,0,0,4,0,2,1,0.0,0,0,0,0,0,0,0
1918,DK 1,Buffcat,1,3,4,1,0,0,2,9,5,0,0,4,0,3,1,0.0,0,0,0,0,0,0,0
1919,Birdo 1,Buffcat,2,1,4,1,0,0,0,1,0,0,0,4,0,1,0,0.0,0,0,0,0,0,0,0
1920,Shy Guy(B) 1,Buffcat,3,3,4,1,1,0,1,7,3,0,0,4,0,3,0,0.0,0,0,0,0,0,0,0
1921,DK 2,Buffcat,4,2,3,0,0,0,2,8,4,0,1,4,0,2,0,0.0,0,0,0,0,0,0,0
1922,Luigi 1,Buffcat,5,0,4,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0,0,0,0,0,0,0
1923,Shy Guy(Y) 1,Buffcat,6,3,4,2,1,0,0,4,1,0,0,4,0,1,0,7.0,5,3,0,7,0,64,0
1924,Diddy 1,Buffcat,7,2,4,1,0,0,1,5,1,0,0,4,0,2,1,0.0,0,0,0,0,0,0,0
1925,Paratroopa(R) 1,Buffcat,8,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
1926,Wario 1,Plovely,0,3,4,1,0,0,2,9,2,0,0,4,0,2,0,0.0,0,0,0,0,0,0,0
1927,Boo 1,Plovely,1,1,3,1,0,0,0,1,0,0,0,3,0,0,0,4.666667,7,2,2,8,0,54,0
1928,Pianta(B) 1,Plovely,2,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0.0,0,0,0,0,0,0,0
1929,Yoshi 1,Plovely,3,2,3,1,1,0,0,3,0,0,0,3,0,0,1,0.0,0,0,0,0,0,0,0
1930,Yoshi 2,Plovely,4,1,3,1,0,0,0,1,0,0,0,3,0,0,1,0.0,0,0,0,0,0,0,0
1931,Luigi 1,Plovely,5,0,3,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0,0,0,0,0,0,0
1932,Mario 1,Plovely,6,1,3,0,0,0,1,4,1,0,0,3,0,1,0,1.333333,0,1,0,1,0,8,0
1933,Toadsworth 1,Plovely,7,1,3,0,0,0,1,4,1,0,0,3,0,1,0,0.0,0,0,0,0,0,0,0
1934,Toad(R) 1,Plovely,8,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
1935,Mario 1,MattGree,0,1,3,0,1,0,0,2,2,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
